oa	啊,阿,呵,吖,嗄,腌,锕,醃,錒,
ju	车,柜,桔,鞠,拘,狙,疽,居,驹,菊,局,咀,矩,举,沮,聚,拒,据,巨,具,距,踞,锯,俱,句,惧,炬,剧,且,蛆,渠,足,匮,倨,讵,苣,苴,莒,掬,遽,屦,琚,枸,椐,榘,榉,橘,犋,飓,钜,锔,窭,裾,趄,醵,踽,龃,雎,瞿,鞫,伡,侷,俥,倶,僪,冣,凥,劇,勮,匊,啹,埧,埾,壉,姖,娵,婅,婮,屨,岠,岨,崌,巈,忂,怇,怐,怚,愳,懅,懼,抅,拠,挙,挶,揟,據,擧,昛,梮,椇,椈,檋,櫃,櫸,欅,歫,毩,毱,泃,泦,洰,涺,淗,湨,澽,焗,焣,爠,犑,狊,珇,痀,眗,秬,窶,筥,簴,籧,粔,粷,繘,罝,耟,聥,腒,舉,艍,蒟,蒩,蓻,蘜,虡,蚷,蜛,螶,袓,襷,詎,諊,豦,跙,踘,蹫,躆,躹,車,輂,邭,郹,鉅,鋦,鋸,閰,陱,颶,駏,駒,駶,驧,鮔,鴡,鵙,鵴,鶋,鶪,齟,﨔,,
jp	捐,鹃,娟,倦,眷,卷,绢,圈,鄄,狷,涓,桊,蠲,锩,镌,隽,劵,勌,勬,呟,圏,埍,奆,奍,姢,婘,嶲,巂,巻,帣,弮,悁,惓,慻,捲,朘,梋,棬,椦,淃,焆,瓹,睊,睠,絭,絹,縳,罥,羂,脧,腃,臇,菤,裐,讂,踡,鋑,鋗,錈,鎸,鐫,闂,雋,鞙,飬,餋,鵍,鵑,,
jm	嚼,脚,角,撅,攫,抉,掘,倔,爵,觉,决,诀,绝,厥,劂,谲,矍,蕨,噘,噱,崛,獗,阙,孓,珏,桷,橛,爝,镢,蹶,觖,鳜,亅,傕,刔,叏,叕,吷,噊,埆,壆,夬,妜,孒,屩,屫,嶡,嶥,弡,彏,憠,憰,戄,挗,捔,撧,斍,橜,櫭,欔,欮,殌,氒,決,泬,灍,焳,熦,燋,爑,爴,玃,玦,玨,瑴,璚,疦,瘚,矞,矡,砄,穱,絕,絶,臄,芵,蕝,虳,蚗,蟨,蟩,袦,覐,覚,覺,觮,觼,訣,誳,譎,貜,赽,趉,趹,蹷,蹻,鈌,鐝,钁,镼,闕,駃,髉,鱖,鴂,鴃,鷢,龣,,
jn	龟,均,菌,钧,军,君,峻,俊,竣,浚,郡,骏,捃,皲,筠,隽,麇,儁,呁,埈,姰,寯,懏,攈,攟,晙,桾,棞,汮,濬,焌,燇,珺,畯,皸,皹,碅,箘,箟,莙,葰,蔨,蚐,蜠,袀,覠,賐,軍,鈞,銁,銞,鍕,陖,雋,頵,餕,馂,駿,鮶,鲪,鵔,鵕,鵘,麕,龜,
ka	喀,咖,卡,咯,佧,咔,胩,垰,桛,裃,鉲,
kl	开,揩,楷,凯,慨,岂,剀,垲,蒈,忾,恺,铠,锎,锴,乫,凱,剴,勓,嘅,塏,奒,嵦,愒,愷,愾,暟,欬,欯,濭,炌,烗,豈,輆,鍇,鎎,鎧,鐦,開,闓,闿,颽,
kj	槛,刊,堪,勘,坎,砍,看,嵌,侃,凵,莰,阚,戡,龛,瞰,偘,冚,埳,塪,墈,崁,嵁,惂,扻,栞,檻,欿,歁,矙,磡,竷,衎,譼,輡,轗,闞,鬫,
kh	康,慷,糠,扛,抗,亢,炕,伉,闶,钪,匟,囥,嫝,嵻,忼,摃,槺,漮,犺,砊,穅,粇,躿,邟,鈧,鏮,閌,鱇,
kk	考,拷,烤,靠,尻,栲,犒,铐,丂,嵪,攷,槀,洘,焅,熇,稾,薧,銬,髛,鮳,鯌,鲓,
ke	呵,坷,苛,柯,棵,磕,颗,科,壳,咳,可,渴,克,刻,客,课,嗑,岢,恪,溘,骒,缂,珂,轲,氪,瞌,钶,铪,锞,稞,疴,窠,颏,蚵,蝌,髁,剋,勀,勊,匼,堁,娔,尅,峇,嵑,嵙,嶱,悈,愘,愙,揢,搕,敤,榼,樖,欬,歁,殼,毼,渇,濭,炣,牁,牱,犐,痾,砢,硞,碦,磆,礊,礚,緙,翗,胢,萪,薖,衉,袔,訶,課,趷,軻,醘,鈳,鉿,錁,閜,頦,顆,騍,騾,龕,
kq	剋,尅,
kf	肯,啃,垦,恳,裉,龈,墾,懇,掯,珢,硍,肎,肻,褃,貇,錹,齗,齦,龂,
kg	坑,吭,铿,乬,劥,厼,唟,坈,奟,妔,巪,挳,揁,摼,殸,牼,硁,硻,誙,銵,鍞,鏗,阬,
ks	空,恐,孔,控,倥,崆,箜,埪,廤,悾,椌,涳,矼,硿,羫,躻,錓,鞚,鵼,
kb	抠,口,扣,寇,佝,芤,蔻,叩,眍,筘,冦,剾,劶,宼,彄,怐,摳,敂,滱,眗,瞉,瞘,窛,竘,簆,蔲,釦,鷇,
ku	枯,哭,窟,苦,酷,库,裤,挎,刳,堀,喾,绔,骷,俈,嚳,圐,崫,庫,扝,捁,搰,朏,桍,楛,焅,狜,瘔,硞,秙,窋,絝,胐,袴,褲,跍,郀,鮬,
kd	夸,垮,挎,跨,胯,侉,咵,姱,恗,晇,楇,絓,舿,蕐,誇,趶,銙,錁,骻,
kc	会,块,筷,侩,快,蒯,郐,蒉,哙,狯,浍,脍,儈,凷,噲,圦,塊,墤,巜,廥,擓,旝,會,欳,澮,獪,璯,糩,膾,蕢,駃,鱠,鲙,,
kp	宽,款,髋,寛,寬,梡,窽,窾,臗,鑧,髖,
kt	匡,筐,狂,框,矿,眶,旷,况,诓,诳,邝,凵,圹,夼,哐,纩,贶,丱,儣,劻,匩,卝,壙,岲,忹,恇,懬,懭,抂,昿,曠,況,洭,爌,狅,眖,矌,砿,硄,礦,穬,筺,絋,絖,纊,誆,誑,貺,軖,軠,軦,軭,迋,邼,鉱,鋛,鑛,鵟,黋,
km	归,亏,盔,岿,窥,葵,奎,魁,傀,馈,愧,溃,馗,匮,夔,隗,蒉,揆,喹,喟,悝,愦,逵,暌,睽,聩,蝰,篑,跬,刲,匱,卼,嘳,媿,嬇,尯,巋,憒,戣,晆,楏,楑,樻,櫆,欳,歸,殨,潰,煃,犪,瞆,瞶,磈,窺,簣,籄,繢,聧,聭,聵,胿,膭,蕢,藈,蘬,蘷,虁,虧,謉,蹞,躨,鄈,鍨,鍷,鐀,鑎,闚,頄,頍,頯,顝,餽,饋,騤,骙,鮭,穒,
kn	坤,昆,捆,困,悃,阃,琨,锟,醌,鲲,髡,堃,堒,壸,壼,婫,尡,崐,崑,晜,梱,涃,潉,焜,熴,猑,瑻,睏,硱,祵,稇,稛,綑,臗,菎,蜫,裈,裍,裩,褌,豤,錕,閫,閸,騉,髠,髨,鯤,鵾,鶤,鹍,
ko	括,扩,廓,阔,栝,蛞,噋,懖,拡,挄,擴,桰,漷,濶,秮,秳,筈,萿,葀,鄺,銛,銽,铦,闊,霩,鞟,鞹,韕,頢,髺,鬠,
la	垃,拉,喇,蜡,腊,辣,啦,落,剌,邋,旯,砬,瘌,癞,嚹,揦,揧,搚,擸,攋,柆,楋,櫴,溂,爉,瓎,癩,磖,翋,臈,臘,菈,藞,蝋,蝲,蠟,辢,鑞,镴,鞡,鬎,鯻,
ll	莱,来,赖,崃,徕,涞,濑,赉,睐,铼,疠,癞,籁,來,俫,倈,勑,唻,娕,婡,崍,庲,徠,攋,梾,棶,櫴,淶,瀨,瀬,猍,琜,癘,癩,睞,筙,箂,籟,萊,藾,襰,誺,賚,賫,賴,逨,錸,頼,顂,騋,鯠,鵣,鶆,麳,
lj	蓝,婪,栏,拦,篮,阑,兰,澜,谰,揽,览,懒,缆,烂,滥,啉,岚,漤,榄,斓,罱,镧,褴,儖,厱,嚂,囒,坔,壈,壏,嬾,孄,孏,嵐,幱,惏,懢,懶,擥,攔,攬,斕,暕,欄,欖,欗,浨,濫,瀾,灆,灠,灡,燗,燣,燷,爁,爛,爤,爦,璼,瓓,礷,籃,籣,糷,繿,纜,葻,藍,蘫,蘭,襕,襤,襴,襽,覧,覽,譋,讕,躝,醂,鑭,钄,闌,韊,
lh	琅,榔,狼,廊,郎,朗,浪,莨,蒗,啷,阆,锒,稂,螂,勆,哴,埌,塱,嫏,斏,朖,朤,桹,樃,欴,烺,瑯,硠,筤,艆,蓈,蓢,誏,躴,郒,郞,鋃,鎯,閬,駺,
lk	捞,劳,牢,老,佬,姥,酪,烙,涝,乐,潦,落,络,唠,崂,獠,栳,铑,铹,痨,耢,醪,僗,労,勞,咾,哰,嘮,嫪,嶗,恅,憥,憦,撈,朥,橑,橯,浶,澇,狫,珯,癆,硓,磱,窂,簩,粩,絡,耂,耮,荖,蛯,蟧,躼,軂,轑,銠,鐒,閖,顟,髝,鮱,
le	勒,乐,肋,了,仂,叻,嘞,泐,鳓,忇,扐,楽,樂,氻,牞,玏,砳,竻,簕,艻,阞,韷,餎,饹,鰳,鱳,
lq	勒,雷,镭,蕾,磊,累,儡,垒,擂,肋,类,泪,羸,诔,嘞,漯,嫘,缧,檑,耒,酹,傫,儽,厽,塁,壘,壨,攂,樏,櫐,洡,涙,淚,灅,瓃,畾,瘣,癗,矋,磥,礌,礧,礨,祱,禷,絫,縲,纇,纍,纝,罍,腂,蔂,蕌,藟,蘱,蘲,蘽,虆,蠝,誄,讄,轠,郲,銇,錑,鐳,鑘,鑸,靁,頛,頪,類,颣,鱩,鸓,鼺,
lg	棱,楞,冷,塄,愣,唥,堎,睖,碐,稜,薐,踜,
li	厘,梨,犁,黎,篱,狸,离,漓,理,李,里,鲤,礼,莉,荔,吏,栗,丽,厉,励,砾,历,利,傈,例,俐,痢,立,粒,沥,隶,力,璃,哩,鬲,俪,俚,郦,坜,苈,莅,蓠,藜,呖,唳,喱,猁,悝,溧,澧,逦,娌,嫠,骊,缡,枥,栎,轹,戾,砺,砬,詈,罹,锂,鹂,疠,疬,蛎,蜊,蠡,笠,篥,粝,醴,跞,雳,鲡,鳢,黧,儮,儷,兣,凓,刕,剓,剺,劙,勵,厤,厯,厲,叕,唎,嚟,嚦,囄,囇,塛,壢,娳,婯,孋,孷,屴,岦,峛,峢,峲,巁,廲,悡,悧,悷,慄,扐,扚,搮,擽,攊,攦,攭,斄,暦,曆,曞,朸,杝,柂,栃,栛,栵,梸,棃,棙,樆,檪,櫔,櫟,櫪,欐,欚,歴,歷,沵,浬,浰,涖,濿,瀝,灕,爄,爏,犂,犛,犡,珕,琍,瑮,瓅,瓈,瓑,瓥,瓼,甅,癘,癧,皪,盠,盭,睙,睝,砅,磿,礪,礰,禮,禲,秝,穲,竰,筣,籬,粚,粴,糎,糲,綟,縭,纅,纚,脷,艃,苙,茘,荲,菞,蒚,蒞,蔾,藶,蘺,蚸,蛠,蜧,蟍,蟸,蠇,蠣,蠫,裏,裡,褵,觻,謧,讈,豊,貍,赲,躒,轢,轣,迣,邌,邐,酈,醨,釐,鉝,銐,鋫,鋰,錅,鎘,鏫,鑗,隷,隸,離,靂,靋,驪,鬁,鬴,鯉,鯏,鯬,鱧,鱱,鱺,鳨,鴗,鵹,鷅,鸝,麗,麜,裏,
ld	俩,倆,
lw	联,莲,连,镰,廉,怜,涟,帘,敛,脸,链,恋,炼,练,莶,蔹,奁,潋,濂,琏,楝,殓,臁,裢,裣,蠊,鲢,亷,僆,劆,匲,匳,嗹,噒,堜,奩,媡,嫾,嬚,孌,慩,憐,戀,摙,斂,梿,槏,槤,檶,櫣,歛,殮,浰,湅,溓,漣,澰,濓,瀮,瀲,煉,瑓,璉,磏,稴,簾,籢,籨,練,縺,纞,羷,翴,聨,聫,聮,聯,臉,萰,蓮,薕,薟,蘞,螊,褳,襝,覝,謰,蹥,連,鄻,醶,錬,鍊,鎌,鏈,鐮,鬑,鰊,鰱,
lt	俩,粮,凉,梁,粱,良,两,辆,量,晾,亮,谅,冫,墚,莨,椋,踉,靓,魉,両,俍,倆,倞,兩,哴,唡,啢,喨,悢,掚,樑,涼,湸,煷,簗,糧,綡,緉,脼,蜋,蜽,裲,諒,輌,輛,輬,辌,鍄,靚,駺,魎,
lz	撩,聊,僚,疗,燎,寥,辽,潦,了,撂,镣,廖,料,蓼,尥,嘹,獠,寮,缪,缭,钌,鹩,嫽,尞,屪,嵺,嶚,嶛,廫,憀,憭,摎,敹,暸,曢,樛,橑,炓,爎,爒,璙,療,瞭,窌,窷,竂,簝,繆,繚,膋,膫,藔,蟟,蟧,豂,賿,蹘,蹽,遼,鄝,釕,鐐,镽,飂,飉,髎,鷯,
lx	列,裂,烈,劣,猎,冽,埒,捩,咧,洌,趔,躐,鬣,儠,劦,劽,哷,埓,姴,巁,巤,忚,挒,挘,擸,栵,棙,櫑,毟,浖,烮,煭,燤,爄,爉,犣,猟,獦,獵,睙,綟,聗,脟,茢,蛚,迾,颲,鬛,鮤,鱲,鴷,,
lc	琳,林,磷,霖,临,邻,鳞,淋,凛,赁,吝,拎,蔺,啉,嶙,廪,懔,遴,檩,辚,膦,瞵,粼,躏,麟,亃,僯,冧,凜,壣,崊,廩,恡,悋,惏,懍,撛,斴,晽,暽,橉,檁,潾,澟,瀶,焛,燐,獜,璘,甐,疄,痳,癛,癝,碄,箖,粦,綝,繗,翷,臨,菻,藺,賃,蹸,躙,躪,轔,轥,鄰,鏻,閵,阾,隣,顲,驎,鱗,麐,隣,
ly	棱,玲,菱,零,龄,铃,伶,羚,凌,灵,陵,岭,领,另,令,酃,苓,呤,囹,泠,绫,柃,棂,瓴,聆,蛉,翎,鲮,倰,刢,坽,夌,姈,婈,孁,岺,崚,嶺,彾,掕,昤,朎,櫺,欞,淩,澪,瀮,炩,燯,爧,狑,琌,皊,砱,祾,秢,稜,竛,笭,紷,綾,羐,舲,蓤,蔆,蕶,蘦,衑,袊,裬,詅,跉,軨,輘,醽,鈴,錂,閝,阾,霊,霗,霛,霝,靈,領,駖,魿,鯪,鴒,鸰,鹷,麢,齡,齢,龗,〇,
lr	溜,琉,榴,硫,馏,留,刘,瘤,流,柳,六,碌,陆,浏,遛,骝,绺,旒,熘,锍,镏,鹨,鎏,劉,嚠,塯,媹,嬼,嵧,廇,懰,摎,斿,旈,栁,桞,桺,橊,橮,沠,漻,澑,瀏,熮,珋,瑠,瑬,璢,畂,畄,畱,疁,癅,磂,磟,窌,綹,罶,羀,蒥,蓅,藰,蟉,裗,蹓,鋶,鎦,鏐,鐂,镠,陸,雡,霤,飀,飂,飅,飗,餾,駠,駵,騮,驑,鬸,鰡,鶹,鷚,鹠,麍,
ls	龙,聋,咙,笼,窿,隆,垄,拢,陇,弄,垅,茏,泷,珑,栊,胧,砻,癃,儱,哢,嚨,壟,壠,尨,屸,嶐,巃,巄,徿,攏,昽,曨,朧,梇,槞,櫳,湰,漋,瀧,爖,瓏,眬,矓,硦,礱,礲,竉,篢,篭,籠,聾,蘢,蠪,蠬,衖,襱,谾,豅,贚,躘,鏧,鑨,隴,霳,靇,鸗,龍,龓,
lb	楼,娄,搂,篓,漏,陋,露,偻,蒌,喽,嵝,镂,瘘,耧,蝼,髅,僂,嘍,塿,寠,屚,嶁,廔,慺,摟,樓,溇,熡,甊,瘺,瞜,耬,艛,螻,貗,遱,鞻,髏,鷜,,
lu	六,芦,卢,颅,庐,炉,掳,卤,虏,鲁,麓,碌,露,路,赂,鹿,潞,禄,录,陆,戮,绿,垆,蓼,撸,噜,泸,渌,漉,逯,璐,栌,橹,轳,辂,辘,氇,胪,镥,鸬,鹭,簏,舻,鲈,侓,僇,剹,勎,勠,嗠,嚕,嚧,圥,坴,塶,塷,壚,娽,峍,廘,彔,挔,捛,摝,擄,擼,攎,曥,枦,椂,樐,樚,櫓,氌,淕,淥,滷,漊,澛,濾,瀂,瀘,熝,爐,獹,玈,琭,璷,瓐,甪,盝,盧,睩,矑,硉,硵,磟,磠,祿,稑,穋,穞,穭,箓,簬,簵,簶,籙,籚,粶,緑,纑,罏,翏,膔,膟,臚,舮,艣,艪,艫,菉,蓾,蔍,蕗,蘆,虂,虜,螰,蠦,觮,觻,謢,賂,趢,踛,蹗,輅,轆,轤,鄜,醁,鈩,錄,錴,鏀,鏕,鏴,鐪,鑥,鑪,陸,顱,馿,騄,騼,髗,魲,鯥,鱸,鴼,鵦,鵱,鷺,鸕,鹵,黸,
lp	峦,挛,孪,滦,卵,乱,脔,娈,栾,鸾,銮,乿,亂,圝,圞,奱,孌,孿,巒,攣,曫,欒,灓,灤,癴,癵,羉,脟,臠,臡,薍,虊,覶,釠,鑾,鵉,鸞,,
lm	掠,略,锊,圙,寽,畧,稤,鋝,鋢,
ln	抡,轮,伦,仑,沦,纶,论,囵,侖,倫,圇,埨,婨,崘,崙,惀,掄,棆,淪,溣,睔,碖,磮,稐,綸,耣,腀,芲,菕,蜦,論,踚,輪,錀,陯,鯩,
lo	咯,烙,萝,螺,罗,逻,锣,箩,骡,裸,落,洛,骆,络,倮,蠃,荦,捋,摞,猡,泺,漯,珞,椤,脶,硌,镙,瘰,蠡,跞,雒,儸,剆,啰,囉,囖,寽,峈,捰,擽,攊,攎,攞,攭,曪,欏,欙,洜,渃,濼,犖,玀,癳,皪,砢,硦,磱,礫,笿,籮,絡,纙,羅,腡,臝,茖,蓏,蘿,蛒,覶,覼,詻,躒,躶,邏,鏍,鑼,頱,饠,駱,騾,驘,鮥,鱳,鵅,鸁,
lv	驴,吕,铝,侣,旅,履,屡,缕,虑,氯,律,率,滤,绿,偻,捋,闾,榈,膂,稆,褛,侶,僂,儢,勴,卛,呂,哷,垏,婁,寠,寽,屢,嵂,廬,慮,慺,挔,捛,曥,梠,櫖,櫚,櫨,濾,焒,爈,瘻,瞜,祣,穞,穭,箻,簍,絽,綠,緑,縷,繂,膐,膟,膢,葎,蔞,藘,褸,謱,軁,郘,鋁,録,鏤,鑢,閭,馿,驢,魯,鷜,
m	呒,
ma	妈,麻,玛,码,蚂,马,骂,嘛,吗,么,摩,抹,犸,杩,蟆,麽,亇,傌,嗎,嘜,媽,嫲,嬤,孖,榪,溤,犘,獁,瑪,痲,痳,睰,碼,礣,祃,禡,罵,菻,蔴,螞,蟇,遤,鎷,閁,馬,駡,鬕,鰢,鷌,
ml	埋,买,麦,卖,迈,脉,劢,荬,唛,霾,佅,勱,嘪,売,脈,蕒,薶,衇,買,賣,邁,霡,霢,鷶,麥,
mj	埋,瞒,馒,蛮,满,蔓,曼,慢,漫,谩,墁,幔,缦,熳,镘,颟,螨,鳗,鞔,僈,姏,娨,嫚,屘,悗,慲,摱,槾,樠,満,滿,澫,澷,獌,睌,瞞,矕,絻,縵,蔄,蘰,蟃,蟎,蠻,襔,謾,鏋,鏝,顢,饅,鬗,鬘,鰻,
mh	芒,茫,盲,氓,忙,莽,邙,漭,硭,蟒,匁,厖,吂,哤,壾,娏,尨,庬,恾,朚,杗,杧,汒,浝,牤,牻,痝,盳,硥,笀,莾,蘉,蛖,蠎,釯,鋩,铓,駹,龒,
mk	猫,茅,锚,毛,矛,铆,卯,茂,冒,帽,貌,贸,袤,茆,峁,泖,瑁,昴,牦,耄,旄,懋,瞀,蝥,蟊,髦,冃,冇,冐,唜,堥,夘,媢,嵍,愗,戼,暓,枆,柕,楙,毟,毷,氂,渵,犛,瓱,皃,秏,笷,緢,芼,蓩,蝐,覒,貇,貓,貿,軞,鄚,鄮,酕,鉚,錨,鶜,,
me	么,麽,嚒,嚜,嚰,庅,濹,麼,
mq	玫,枚,梅,酶,霉,煤,没,眉,媒,镁,每,美,昧,寐,妹,媚,糜,谜,莓,嵋,猸,浼,湄,楣,镅,鹛,袂,魅,凂,嚜,坆,堳,塺,媄,媺,嬍,嵄,徾,抺,挴,攗,攟,旀,栂,楳,槑,櫗,殙,毎,沒,沬,渼,湈,煝,燘,珻,瑂,痗,眊,眛,睂,睸,矀,祙,禖,穈,篃,羙,脄,脢,腜,苺,葿,蘪,蝞,謎,跊,躾,郿,鋂,鎂,鎇,韎,鬽,鶥,黣,黴,
mf	瞒,门,闷,们,扪,汶,焖,懑,钔,鞔,亹,們,怋,悗,悶,惛,懣,捫,斖,暪,椚,殙,燜,玧,璊,瞞,菛,虋,鍆,門,閅,
mg	氓,萌,蒙,檬,盟,锰,猛,梦,孟,勐,甍,瞢,懵,朦,礞,虻,蜢,蟒,蠓,艋,艨,黾,儚,冡,夢,夣,尨,幪,庬,懜,懞,掹,擝,曚,橗,氋,溕,濛,獴,瓾,甿,癦,矇,矒,罞,萠,蕄,蝱,踎,鄳,鄸,鋂,錳,雺,霥,霿,靀,顭,饛,髳,鯍,鯭,鸏,鹲,黽,鼆,
mi	眯,醚,靡,糜,迷,谜,弥,米,秘,觅,泌,蜜,密,幂,芈,冖,谧,蘼,咪,嘧,猕,汨,宓,弭,脒,祢,敉,糸,縻,麋,侎,冞,冪,哋,塓,孊,宻,尒,尓,峚,幎,幦,彌,怽,戂,摵,擟,攠,枈,榓,樒,檷,櫁,沕,洣,淧,渳,滵,漞,濔,濗,灖,熐,爢,獼,瓕,瞇,瞴,祕,禰,穈,簚,粎,羃,羋,苾,葞,蒾,蓂,蔝,蔤,藌,蘪,蝆,覓,覔,覛,詸,謎,謐,醾,醿,釄,銤,镾,鸍,麊,麛,麿,鼏,
mw	棉,眠,绵,冕,免,勉,娩,缅,面,沔,渑,湎,宀,腼,眄,瞑,黾,丏,俛,偭,勔,厸,喕,婂,媔,嬵,愐,杣,檰,櫋,汅,澠,牑,睌,矈,矊,矏,糆,絻,綿,緜,緬,臱,芇,莬,葂,蝒,靣,靦,鮸,麪,麫,麵,麺,黽,
mz	苗,描,瞄,藐,秒,渺,庙,妙,喵,邈,缈,缪,杪,淼,眇,鹋,仯,劰,厸,媌,嫹,庿,廟,竗,篎,緢,緲,繆,訬,鱙,鶓,
mx	蔑,灭,乜,芈,咩,蠛,篾,吀,哶,孭,幭,懱,搣,旀,櫗,滅,瀎,烕,眜,礣,簚,薎,衊,覕,鑖,鱴,鴓,
mc	民,抿,皿,敏,悯,闽,苠,岷,闵,泯,缗,玟,珉,愍,黾,鳘,僶,冺,刡,勄,呡,垊,姄,崏,忞,忟,怋,惽,慜,憫,捪,敃,敯,旻,旼,暋,渂,湏,湣,潣,琘,琝,瑉,痻,盿,碈,笢,笽,簢,緍,緡,罠,蠠,賯,鈱,錉,鍲,閔,閩,鰵,黽,
my	明,螟,鸣,铭,名,命,冖,冥,茗,溟,暝,瞑,酩,佲,凕,姳,嫇,慏,掵,朙,榠,洺,猽,眀,眳,蓂,覭,詺,鄍,銘,鳴,
mr	谬,缪,繆,謬,
mo	貉,嘿,脉,冒,没,摸,摹,蘑,模,膜,磨,摩,魔,抹,末,莫,墨,默,沫,漠,寞,陌,袜,万,无,谟,茉,蓦,馍,嫫,嬷,殁,镆,秣,瘼,耱,貊,貘,麽,乮,冐,劘,劰,嗼,嚜,嚤,嚩,圽,塻,妺,嫼,嬤,尛,帓,帞,庅,怽,懡,戂,擵,攠,昩,暯,枺,橅,歾,歿,沒,瀎,無,爅,狢,獏,癦,皌,眜,眽,眿,瞐,瞙,砞,礳,粖,糢,絈,絔,縸,纆,莈,萬,藦,蛨,蟔,衇,袹,謨,謩,貃,貈,銆,鏌,饃,饝,驀,骳,髍,魩,魹,麼,麿,黙,
mb	谋,牟,某,侔,厶,哞,缪,眸,蛑,鍪,劺,呣,堥,恈,敄,桙,洠,繆,謀,踎,鉾,鞪,鴾,麰,
mu	姥,模,莫,牟,拇,牡,亩,姆,母,墓,暮,幕,募,慕,木,目,睦,牧,穆,仫,坶,苜,沐,缪,毪,钼,凩,娒,峔,幙,慔,暯,朷,楘,樢,毣,氁,炑,牳,狇,獏,畂,畆,畒,畝,畞,畮,砪,縸,胟,艒,茻,莯,萺,蚞,踇,鉧,鉬,雮,霂,鞪,
mm	椧,
n	唔,嗯,
na	拿,哪,呐,钠,那,娜,纳,南,内,捺,肭,镎,衲,乸,吶,嗱,妠,抐,拏,挐,搻,秅,笚,笝,納,蒘,蒳,袦,誽,豽,貀,軜,鈉,鎿,雫,靹,魶,
nl	哪,氖,乃,奶,耐,奈,能,鼐,佴,艿,萘,柰,倷,妳,嬭,孻,廼,搱,摨,渿,熋,疓,耏,腉,螚,褦,迺,釢,錼,
nj	南,男,难,喃,囝,囡,楠,腩,蝻,赧,侽,妠,娚,婻,嫨,戁,抩,揇,暔,枏,枬,湳,煵,畘,莮,萳,諵,遖,難,
nh	囊,攮,囔,馕,曩,乪,儾,嚢,崀,憹,搑,擃,欜,涳,瀼,灢,饢,鬞,齉,
nk	挠,脑,恼,闹,淖,孬,垴,呶,猱,瑙,桡,硇,铙,蛲,匘,堖,夒,婥,嫐,峱,嶩,巎,巙,怓,悩,惱,摎,撓,橈,檂,獶,獿,碙,碯,脳,腦,蟯,詉,鐃,閙,鬧,
ne	哪,呐,那,呢,讷,疒,吶,抐,眲,訥,
nq	哪,那,馁,内,內,娞,氝,氞,浽,腇,餒,餧,鮾,鯘,
nf	嫩,恁,媆,
ng	而,能,竜,莻,螚,銰,
ni	呢,妮,霓,倪,泥,尼,拟,你,匿,腻,逆,溺,疑,伲,坭,嶷,猊,怩,昵,旎,睨,铌,鲵,伱,儗,儞,兒,埿,堄,妳,婗,嫟,嬭,嬺,孴,屔,惄,愵,懝,抐,抳,掜,擬,晲,暱,柅,檷,氼,淣,濔,瀰,狔,眤,秜,籾,縌,聣,聻,胒,膩,臡,苨,薿,蚭,蛪,蜺,袮,觬,誽,貎,跜,迡,郳,鈮,隬,馜,鯢,麑,齯,
nw	蔫,拈,年,碾,撵,捻,念,粘,辗,廿,埝,辇,黏,鲇,鲶,卄,哖,唸,姩,悥,惗,撚,攆,榐,淰,溓,焾,秥,簐,跈,蹍,躎,輦,輾,鮎,鯰,鵇,
nt	娘,酿,嬢,醸,釀,
nz	溺,鸟,尿,茑,嬲,脲,袅,嫋,嬝,尦,樢,茮,蔦,裊,褭,鳥,
nx	捻,捏,聂,孽,啮,镊,镍,涅,摄,乜,陧,蘖,嗫,颞,臬,蹑,嚙,囁,囐,囓,圼,孼,峊,嵲,嶭,巕,帇,惗,掜,揑,摰,攝,敜,枿,棿,槷,櫱,湼,痆,篞,籋,糱,糵,聶,臲,苶,菍,蠥,讘,踂,踗,踙,躡,銸,鋷,錜,鎳,鑈,鑷,闑,隉,顳,齧,
nc	您,恁,囜,拰,脌,
ny	柠,狞,凝,宁,拧,泞,佞,咛,甯,聍,侫,倿,儜,嚀,嬣,寍,寕,寗,寜,寧,擰,橣,檸,澝,濘,獰,矃,聹,苧,薴,鑏,鬡,鸋,
nr	牛,扭,钮,纽,拗,狃,忸,妞,怓,抝,杻,汼,沑,炄,牜,紐,鈕,靵,
ns	脓,浓,农,弄,侬,哝,儂,噥,憹,挊,挵,檂,欁,濃,燶,癑,禯,秾,穠,繷,膿,莀,蕽,襛,譨,農,辳,醲,銰,鬞,齈,
nb	耨,啂,搙,槈,檽,獳,羺,譨,譳,鎒,鐞,
nu	奴,努,怒,呶,帑,弩,胬,孥,驽,伮,傉,搙,砮,笯,詉,駑,
np	暖,奻,渜,湪,煖,煗,餪,
nm	虐,疟,婩,瘧,硸,
nn	黁,
no	那,娜,难,挪,懦,糯,诺,傩,搦,喏,锘,儺,懧,挼,掿,搙,搻,梛,榒,橠,毭,稬,穤,糑,糥,耎,袲,袳,詝,諾,逽,郍,鍩,難,
nv	女,恧,钕,衄,朒,沑,籹,聏,衂,釹,
oo	哦,喔,噢,嚄,筽,
ob	欧,鸥,殴,藕,呕,偶,沤,区,禺,讴,怄,瓯,耦,區,吘,吽,嘔,塸,慪,櫙,歐,毆,漚,熰,甌,筽,腢,膒,蕅,藲,謳,鏂,髃,鴎,鷗,
pa	扒,叭,耙,啪,趴,爬,帕,怕,琶,派,葩,杷,钯,筢,妑,帊,汃,潖,皅,舥,苩,袙,跁,鈀,,
